Team,Name,Alias,Role,Credit
BLR,Navdeep Saini,N. Saini,BOWL,8
DEL,Avesh Khan,A. Khan,BOWL,8
HYD,Shahbaz Nadeem,S. Nadeem,BOWL,8
KOL,Shivam Mavi,S. Mavi,BOWL,8
RAJ,Mayank Markande,M. Markande,BOWL,8
RAJ,Kartik Tyagi,K. Tyagi,BOWL,8
KOL,Kamlesh Nagarkoti,K. Nagarkoti,BOWL,8
MUM,Mohsin Khan,M. Khan,AL/BOWL,7.5
CHE,Ravisrinivasan Sai Kishore,R. Kishore,BOWL,7.5
DEL,Manimaran Siddharth,M. Siddharth,BOWL,7.5
CHE,KM Asif,K. Asif,BOWL,7.5
RAJ,Kuldip Yadav,K. Yadav,BOWL,7.5
DEL,Praveen Dubey,P. Dubey,BOWL,7.5
RAJ,Akash Singh,A. Singh,BOWL,7.5
HYD,Abhishek Sharma,A. Sharma,BOWL,7.5
MUM,Arjun Tendulkar,A. Tendulkar,BOWL,7.5
PNJ,Darshan Nalkande,D. Nalkande,BOWL,7.5
KOL,Sandeep Warrier,S. Warrier,BOWL,7.5
KOL,Vaibhav Arora,V. Arora,BOWL,7.5
